,rating,games_minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,rating_target,position_Defender,position_Goalkeeper,position_Midfielder,result_status_encoded,games_substitute_encoded
1199,-0.3333333333333333,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,2.0,0.0,-0.5,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0
1200,0.0,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.32,0.5,0.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,1,1,0
1201,0.0,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,-0.5,1.0,0.0,0.0,-0.25,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,1,2,0
1202,-0.5000000000000008,-0.29310344827586204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.35714285714285715,0.0,-0.28,-0.5,0.0,1.0,-0.16666666666666666,-0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0
1203,-0.3333333333333333,-1.1724137931034482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7857142857142857,1.0,-0.68,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,0,0,1
1208,0.0,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32142857142857145,0.0,-0.44,1.0,0.0,0.0,2.1666666666666665,1.75,2.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,1,0
1209,0.6666666666666652,0.10344827586206896,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.21428571428571427,1.0,-0.24,0.0,0.0,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,2,0
1210,0.16666666666666594,-0.13793103448275862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2857142857142857,1.0,-0.32,0.0,0.0,0.0,0.5,0.5,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,2,0
1211,0.9999999999999986,-0.1896551724137931,1.0,3.0,1.0,1.0,0.0,0.0,0.0,-0.5357142857142857,0.0,-0.44,-0.5,0.0,0.0,-0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,2,0
1212,-1.1666666666666659,-0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5714285714285714,0.0,-0.56,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0
1218,0.4999999999999993,-0.29310344827586204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.56,0.5,0.0,1.0,0.5,0.75,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0,1,0
1219,-0.5000000000000008,-1.1206896551724137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5357142857142857,1.0,-0.48,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1
1220,0.0,-1.1379310344827587,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.32142857142857145,0.0,-0.2,0.5,0.0,0.0,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1
1221,0.0,0.22413793103448276,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.1785714285714286,0.0,1.12,1.0,1.0,0.0,0.8333333333333334,0.25,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
1222,0.4999999999999993,-0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.0,0.64,0.5,1.0,0.0,0.16666666666666666,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0,2,0
1223,0.6666666666666652,-0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,1.0,0.6,1.0,0.0,1.0,0.16666666666666666,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,1,0
1224,0.16666666666666594,-0.2413793103448276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,2.0,0.72,0.0,1.0,0.0,-0.16666666666666666,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,0,0
1225,-1.0,-1.1379310344827587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6428571428571429,0.0,-0.6,0.0,1.0,1.0,0.0,-0.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,1,1,1
1226,-0.5000000000000008,-0.8448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5357142857142857,0.0,-0.4,0.0,0.0,0.0,-0.8333333333333334,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,1
1227,0.4999999999999993,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4642857142857143,0.0,-0.32,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1,0,2,0
1228,-1.0,0.22413793103448276,0.0,0.0,0.0,0.0,3.0,0.0,2.0,-0.39285714285714285,0.0,-0.4,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
1229,0.16666666666666594,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39285714285714285,0.0,-0.12,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,0
1230,0.4999999999999993,0.22413793103448276,0.0,0.0,0.0,0.0,2.0,0.0,5.0,-0.10714285714285714,0.0,-0.16,-0.5,0.0,0.0,-0.8333333333333334,-0.5,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1,0,0,0
1231,-1.6666666666666652,0.22413793103448276,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.21428571428571427,0.0,-0.2,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
1232,-0.3333333333333333,-0.2413793103448276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,1.0,0.88,-0.5,1.0,1.0,-0.5,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0,0,1,0,0
1235,0.0,-0.8103448275862069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.48,0.0,0.0,0.0,-0.8333333333333334,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,1
